Entity,superregion2,iso3,Fruits,Non-starchy vegetables,starchy vegetables,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Eggs,Total Dairy,Sugar-sweetened beverages,Fruit juices,BMI,Diabetes prevalence (% of population ages 20 to 79)
Niger,SSA,NER,63.56205479,98.53130694,483.3329658,568.7227523,52.1259874,4.289626913,3.770108293,2.552397796,37.48431143,0.003432518,11.89937416,21.8,5.2
Nigeria,SSA,NGA,35.12588502,92.80325586,68.71958152,192.534923,57.90333098,6.781244485,20.30739919,4.623476345,129.5535003,129.9806309,6.891808922,23.2,3.6
North Macedonia,FSU,MKD,91.93945662,272.8506532,177.3068822,221.5421464,49.91745347,62.71824703,51.72505958,15.29217656,82.70877769,246.0267517,27.15133332,26.8,6.1
Norway,HIC,NOR,82.28803979,117.2664498,77.55837525,13.5047286,31.0227478,27.45043049,85.11456347,18.43867013,56.92393517,75.31197832,19.18450749,26.7,3.6
Oman,MENA,OMN,120.6111806,131.8039954,109.6507884,335.8494273,27.64507238,33.10893539,43.91856935,35.74475958,78.44991286,172.6502069,19.39407325,26.3,13.8
Pakistan,SAARC,PAK,33.93951646,193.1310283,70.64729261,366.8670186,80.51750339,6.295775534,27.88374349,12.56343413,150.4853213,188.5211411,2.258978807,23.9,30.8
Palestine,MENA,PSE,106.1157504,128.7572805,113.2511918,452.0399283,13.3065213,20.82069555,39.41133762,30.06429273,201.1503436,183.0133102,23.73595389,26.3,9.2
Panama,LAC,PAN,130.9233641,154.9220645,75.07533651,321.8745273,33.91141457,50.2681303,75.62172883,13.77071663,106.8523521,496.018266,29.96149305,26.9,8.2
Papua New Guinea,Asia,PNG,3.850213287,88.11808195,124.5574869,219.697007,114.7891237,6.854585285,186.0637155,2.961999107,226.9163945,9.44E-05,35.69355217,25.6,16.7
Paraguay,LAC,PRY,93.87317078,151.2123618,129.151234,127.7736731,29.36407126,30.56881321,132.2964122,28.92873428,216.8454513,341.0160617,29.42529472,26.7,7.5
Peru,LAC,PER,227.7945508,95.64636246,106.8920945,257.7004898,34.52899423,33.31706267,108.4025837,27.73910836,101.3142775,222.4618085,17.17703765,26.7,4.8
Philippines,Asia,PHL,84.87264827,110.2836376,31.40639949,317.1658147,52.74942976,45.44312275,25.14385637,18.95197632,16.613185,144.7302162,18.46069796,23.2,7.1
Poland,FSU,POL,234.9317527,81.91370883,200.7139116,204.705569,21.42354036,62.45828365,68.35272051,25.8135917,273.6345738,49.02912634,38.04732085,26.7,6.8
Portugal,HIC,PRT,420.8590654,178.6889872,129.091888,127.133192,28.67905603,16.67805748,66.05981738,17.27672851,114.4115712,99.37348416,6.384611658,25.6,9.1
Qatar,MENA,QAT,123.1307798,161.1856088,87.94057394,449.7016098,15.87708576,27.54783406,37.36939836,29.99442043,291.0499118,230.9891514,24.98643405,29.2,19.5
Romania,FSU,ROU,194.2392335,67.73364251,174.4745275,296.6777072,5.195561109,49.89156908,69.64949755,53.50700558,301.4994134,139.0169538,9.082823574,26.9,6.5
Russia,FSU,RUS,90.4122278,139.347998,128.0444465,41.8265439,88.78006909,52.24384493,188.0404933,37.91263523,29.80224316,92.95997474,31.30239983,26.2,5.6
Rwanda,SSA,RWA,122.552605,168.8576848,114.2884206,163.6637523,27.43822809,1.942703415,4.864600352,1.950742678,171.5666931,1165.600576,13.32247814,22.1,6.5
Saint Lucia,LAC,LCA,76.60062094,358.2324243,94.260436,123.461872,49.05465855,9.035051916,39.04394647,11.15266551,158.0809493,318.3367355,24.2836608,30,11.7
Saint Vincent and the Grenadines,LAC,VCT,143.5123003,180.9278473,59.84875393,172.829589,19.9706107,18.8558622,57.34919618,14.86502007,199.6855573,1072.663815,22.59875215,27.2,8
Samoa,Asia,WSM,140.2989818,281.0754691,33.76944134,167.6853314,10.6252102,24.38297251,29.83090633,5.197637741,125.4046491,310.7870185,7.236180836,32.2,9.2
Sao Tome and Principe,SSA,STP,128.8873902,146.953621,93.96137343,348.7208523,24.99853105,21.33172658,7.762080092,4.046951081,119.3380324,127.8840486,12.79282835,24.8,5.5
Saudi Arabia,MENA,SAU,146.5879704,130.6466167,136.5149867,364.0828731,24.28348023,67.22812879,34.99705331,42.28838079,92.29861395,244.1163528,22.15368997,28.5,18.7
Senegal,SSA,SEN,52.38834378,73.14242988,68.36063408,205.8506812,70.72635438,21.76698137,8.054192728,2.523841635,60.26844512,528.2217907,12.88664674,23,3.1
Serbia,FSU,SRB,148.4257059,152.1993318,217.635613,359.5186468,194.8471609,31.44821591,74.93909601,24.138326,52.35643932,37.98903207,36.63179704,26.1,9.1
Seychelles,SSA,SYC,108.5006526,173.1532322,78.56788495,246.460768,38.64196388,13.04714168,18.7580878,9.765247624,201.7361918,270.6704493,7.453970094,26.7,8.5
Sierra Leone,SSA,SLE,89.25413164,119.1110896,37.91754195,185.5495007,64.71574454,67.32888712,10.23060577,5.876685064,126.388126,232.149489,5.193709563,22.7,2.1
Singapore,Asia,SGP,134.1782002,128.3806646,36.28634262,538.8188077,8.067234513,16.1467652,47.13656952,33.09551811,94.95515524,107.7164665,9.38934254,23.6,11.6
Slovakia,FSU,SVK,80.34233996,460.9160894,77.14645216,61.30910598,52.37766178,57.47829116,33.58168264,9.819898602,294.6612502,135.3402509,22.45891518,26.4,5.8
